Deoghar, 105, 19.253136, 73.613882, 153.000000, 5.000000e-01, 173.597894, 26364.778491, 10
Mahaj, 596, 19.251475, 73.580024, 153.000000, 5.000000e-01, 173.597894, 26364.778491, 10
Bandhivali, 858, 19.191253, 73.497565, 153.000000, 5.000000e-01, 173.597894, 26364.778491, 10
Jayshet, 820, 19.593956, 72.943154, 152.756500, 5.000000e-01, 173.298108, 26401.845218, 10
Sakurli, 1635, 19.469306, 73.618973, 152.599533, 5.000000e-01, 173.104961, 26425.793349, 10
Nyahadi, 781, 19.350633, 73.691651, 152.000000, 5.000000e-01, 172.367982, 26517.653258, 10
Uchale, 862, 19.196049, 73.523015, 152.000000, 5.000000e-01, 172.367982, 26517.653258, 10
Kharade, 1266, 20.006283, 73.790246, 151.000000, 5.000000e-01, 171.141349, 26672.263068, 10
Gunde, 1180, 19.437286, 73.631460, 150.585114, 5.000000e-01, 170.633398, 26736.924767, 10
Kalamgaon, 1167, 19.524399, 73.339237, 150.460541, 5.000000e-01, 170.480992, 26756.399529, 10
KhutalBaragaon, 1747, 19.353423, 73.675772, 150.000000, 5.000000e-01, 169.917995, 26828.637349, 10
Akare, 2021, 19.938434, 73.138649, 149.300964, 5.000000e-01, 169.064774, 26939.012417, 10
Panchghar, 822, 19.462151, 73.622865, 149.068893, 5.000000e-01, 168.781870, 26975.851213, 10
Karhe, 1378, 21.554659, 76.890237, 149.000000, 5.000000e-01, 168.697920, 26986.806198, 10
Urse, 1095, 19.856132, 72.873502, 148.000000, 5.000000e-01, 167.481123, 27146.800395, 10
Kunj, 2189, 18.481238, 73.870501, 148.000000, 5.000000e-01, 167.481123, 27146.800395, 10
Jaigaon, 496, 21.048607, 76.534440, 148.000000, 5.000000e-01, 167.481123, 27146.800395, 10
Sakurli, 710, 19.469306, 73.618973, 148.000000, 5.000000e-01, 167.481123, 27146.800395, 10
Chalani, 3313, 19.996852, 73.064469, 147.634705, 5.000000e-01, 167.037450, 27205.706892, 10
Tulai, 1102, 18.590093, 73.820299, 147.000000, 5.000000e-01, 166.267604, 27308.651425, 10
Mohaghar, 1109, 19.157515, 73.389201, 147.000000, 5.000000e-01, 166.267604, 27308.651425, 10
