Masanpada , 20.179520, 72.957170, 44.926304, 1.74791, 73.6052, 1264, 1.16464
Posari, 18.897460, 73.147850, 40.003418, 1.65637, 74.4324, 1279, 1.16392
Kisal, 19.338500, 73.552360, 102.821503, 2.82408, 66.6415, 1150, 1.15898
Waghivali, 19.281120, 73.342590, 85.999931, 2.5098, 68.2877, 1204, 1.13435
Chauk, 18.899998, 73.233326, 37.238976, 1.60486, 74.9229, 1328, 1.12836
Kasagaon, 19.469050, 73.368380, 57.718040, 1.98509, 71.687, 1272, 1.12715
Goveli, 19.243950, 73.269320, 67.852257, 2.17282, 70.3568, 1264, 1.11324
Kharivali , 19.638450, 73.039660, 35.685158, 1.57587, 75.2075, 1361, 1.10518
Ibhadpada, 20.155560, 72.900340, 84.537346, 2.48258, 68.442, 1248, 1.09683
Kalambhai, 19.551490, 73.017200, 34.167347, 1.54751, 75.4921, 1445, 1.04487
Nehroli, 19.601900, 73.119410, 47.195229, 1.79003, 73.2421, 1408, 1.04037
Fansoli, 19.228420, 73.385670, 98.437920, 2.74195, 67.0494, 1301, 1.03074
Kurund, 19.340950, 73.158670, 38.732090, 1.63269, 74.6555, 1503, 0.99342
Shiroshi, 19.399998, 73.616669, 180.245697, 4.31073, 61.0644, 1235, 0.988897
Jingaon, 20.059500, 72.856140, 47.405361, 1.79393, 73.209, 1493, 0.980697
Chinchawali, 18.966669, 73.333329, 44.786667, 1.74531, 73.6279, 1511, 0.974559
Chinchavali, 18.966669, 73.333329, 44.786667, 1.74531, 73.6279, 1511, 0.974559
Karhe, 19.439010, 73.728020, 107.000000, 2.90252, 66.265, 1378, 0.961756
Chinchale, 20.017120, 72.888620, 80.045052, 2.39904, 68.9285, 1449, 0.951395
Palsai, 19.599997, 73.016666, 23.906210, 1.35471, 77.6138, 1640, 0.94651
Awarpada, 20.126880, 72.876930, 43.615818, 1.72356, 73.82, 1562, 0.945198
Pali, 19.666667, 73.083327, 43.544403, 1.72223, 73.8318, 1567, 0.942333
Borale, 18.970030, 73.187079, 32.064075, 1.50816, 75.8979, 1627, 0.93298
Kambare, 19.571810, 73.185210, 62.736786, 2.07805, 71.01, 1532, 0.927024
Mangathane, 19.221199, 72.868211, 28.875744, 1.44836, 76.54, 1662, 0.921059
Bohonoli, 19.157440, 73.191010, 77.432655, 2.35052, 69.2207, 1524, 0.908408
Khunavade, 20.072730, 72.796540, 53.951412, 1.91531, 72.221, 1636, 0.882898
