Narhen, 1341, 19.124614, 73.124634, 22.644445, 5.000000e-01, 40.841853, 98010.699521, 10
Vaghivali, 1237, 19.336193, 73.060882, 21.883703, 5.000000e-01, 40.229571, 99522.875144, 10
Vaghivali, 253, 19.336193, 73.060882, 21.883703, 5.000000e-01, 40.229571, 99522.875144, 10
Nandare, 444, 19.229756, 73.139424, 21.640347, 5.000000e-01, 40.034095, 100016.240936, 10
Paraswadi, 1399, 19.090471, 72.900423, 21.572523, 5.000000e-01, 39.979650, 100154.591084, 10
Ashivali, 5, 19.214152, 73.092421, 21.543396, 5.000000e-01, 39.956272, 100214.120684, 10
Dawadi (N.V.), 8269, 19.198518, 73.115130, 20.625334, 5.000000e-01, 39.220816, 102126.387379, 10
Nimbavali, 633, 19.334407, 73.095126, 20.622862, 5.000000e-01, 39.218840, 102131.632090, 10
Walshind, 1219, 19.297948, 73.110201, 20.284725, 5.000000e-01, 38.948636, 102854.035240, 10
Manere  (N.V.), 8165, 19.204711, 73.154137, 20.113026, 5.000000e-01, 38.811571, 103224.678219, 10
IN39_0, 0, 19.313052, 73.018328, 500, 0, 0, 0, 10
IN142_0, 0, 19.228389, 72.975135, 29.83757209777832, 0, 0, 0, 10
IN326_0, 0, 19.266640, 72.991917, 500, 0, 0, 0, 10
IN426_0, 0, 19.306250, 72.894367, 0.6755020022392273, 0, 0, 0, 10
IN659_0, 0, 19.198259, 72.977546, 13.14271831512451, 0, 0, 0, 10
IN835_0, 0, 19.160132, 73.027180, 12.52025318145752, 0, 0, 0, 10
IN835_1, 0, 19.160166, 73.055710, 11.98580074310303, 0, 0, 0, 10
IN858_0, 0, 19.258840, 73.085308, 1.139654636383057, 0, 0, 0, 10
IN907_0, 0, 19.090490, 72.928941, 4.927216529846191, 0, 0, 0, 10
