Asole, 13805, 19.271500, 73.329600, 73.000000, 3.923060e-02, 172.865505, 27078920.973460,1,2,-1,-1,-1,-1,-1
Kelni, 12872, 19.264000, 73.279500, 70.213700, 4.207410e-02, 167.141217, 27078913.293097,-1,-1,-1,-1,-1,-1,-1
Kudavali, 12141, 19.274400, 73.392000, 76.000000, 4.460740e-02, 179.100261, 27078929.013986,4,-1,-1,-1,-1,-1,-1
Lenad Kh., 9051, 19.389100, 73.385600, 88.000900, 5.983640e-02, 204.781545, 27078959.051211,6,-1,-1,-1,-1,-1,-1
Pawale, 13348, 19.300200, 73.421000, 96.000000, 4.057380e-02, 222.556885, 27078977.420197,-1,-1,-1,-1,-1,-1,-1
Shei, 25365, 19.358400, 73.303100, 73.038700, 2.135140e-02, 172.945462, 27078921.078666,6,-1,-1,-1,-1,-1,-1
Shendrun, 20356, 19.362200, 73.373200, 106.561000, 2.660540e-02, 246.831014, 27078999.962024,-1,-1,-1,-1,-1,-1,-1
